2A0040150L-1,1,Avenue Beverini Vico,20000,Ajaccio,C+O,41.926323,8.737500
2A0040150L-12,12,Avenue Beverini Vico,20000,Ajaccio,C+O,41.926804,8.736097
2A0040150L-13,13,Avenue Beverini Vico,20000,Ajaccio,C+O,41.926413,8.736136
2A0040150L-14,14,Avenue Beverini Vico,20000,Ajaccio,C+O,41.926781,8.735944
2A0040150L-15B,15BIS,Avenue Beverini Vico,20000,Ajaccio,C+O,41.926405,8.735760
2A0040150L-16,16,Avenue Beverini Vico,20000,Ajaccio,C+O,41.926809,8.735701
2A0040150L-17,17,Avenue Beverini Vico,20000,Ajaccio,C+O,41.926497,8.735515
2A0040150L-17B,17BIS,Avenue Beverini Vico,20000,Ajaccio,C+O,41.926258,8.735388
2A0040150L-18,18,Avenue Beverini Vico,20000,Ajaccio,C+O,41.926805,8.735475
2A0040150L-2,2,Avenue Beverini Vico,20000,Ajaccio,C+O,41.926605,8.737748
2A0040150L-3,3,Avenue Beverini Vico,20000,Ajaccio,C+O,41.926302,8.737268
2A0040150L-4,4,Avenue Beverini Vico,20000,Ajaccio,C+O,41.926648,8.737463
2A0040150L-5,5,Avenue Beverini Vico,20000,Ajaccio,C+O,41.926414,8.736862
2A0040150L-6,6,Avenue Beverini Vico,20000,Ajaccio,C+O,41.926662,8.737346
2A0040150L-7,7,Avenue Beverini Vico,20000,Ajaccio,C+O,41.926376,8.736628
2A0040150L-8,8,Avenue Beverini Vico,20000,Ajaccio,C+O,41.926720,8.736525
2A0040160X-2021,2021,Chemin de Biancarello,20000,Ajaccio,C+O,41.933092,8.736579
2A0040170H-10,10,Rue Bonaparte,20000,Ajaccio,C+O,41.917890,8.738827
2A0040170H-1,1,Rue Bonaparte,20000,Ajaccio,C+O,41.918575,8.738616
2A0040170H-12,12,Rue Bonaparte,20000,Ajaccio,C+O,41.917754,8.739086
2A0040170H-14,14,Rue Bonaparte,20000,Ajaccio,C+O,41.917698,8.739110
2A0040170H-17,17,Rue Bonaparte,20000,Ajaccio,OSM,41.918069,8.739103
2A0040170H-18,18,Rue Bonaparte,20000,Ajaccio,C+O,41.917644,8.739153
2A0040170H-19,19,Rue Bonaparte,20000,Ajaccio,C+O,41.917912,8.739256
2A0040170H-21,21,Rue Bonaparte,20000,Ajaccio,C+O,41.917889,8.739360
2A0040170H-22,22,Rue Bonaparte,20000,Ajaccio,C+O,41.917563,8.739199
2A0040170H-2,2,Rue Bonaparte,20000,Ajaccio,C+O,41.918399,8.738184
2A0040170H-23,23,Rue Bonaparte,20000,Ajaccio,C+O,41.917827,8.739395
2A0040170H-24,24,Rue Bonaparte,20000,Ajaccio,C+O,41.917467,8.739259
2A0040170H-25,25,Rue Bonaparte,20000,Ajaccio,C+O,41.917784,8.739461
2A0040170H-27,27,Rue Bonaparte,20000,Ajaccio,C+O,41.917753,8.739512
2A0040170H-2B,2BIS,Rue Bonaparte,20000,Ajaccio,C+O,41.918375,8.738250
2A0040170H-3,3,Rue Bonaparte,20000,Ajaccio,C+O,41.918517,8.738679
2A0040170H-6,6,Rue Bonaparte,20000,Ajaccio,C+O,41.918110,8.738659
2A0040170H-6A,6A,Rue Bonaparte,20000,Ajaccio,C+O,41.918035,8.738678
2A0040170H-7,7,Rue Bonaparte,20000,Ajaccio,C+O,41.918378,8.738868
2A0040170H-8,8,Rue Bonaparte,20000,Ajaccio,C+O,41.917985,8.738743
2A0040170H-9,9,Rue Bonaparte,20000,Ajaccio,C+O,41.918296,8.738960
2A0040180U-10,10,Rue des Bûcherons,20000,Ajaccio,C+O,41.917177,8.738201
